data_inversa,horario,br,km,municipio,uf,tipo_acidente,causa_acidente,condicao_metereologica,data,hora
2025-01-01,06:20:00,116,225,GUARULHOS,SP,Tombamento,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-01,6
2025-01-01,07:50:00,116,"546,2",PENAFORTE,CE,Colisão frontal,Pista esburacada,Céu Claro,2025-01-01,7
2025-01-01,08:45:00,369,"88,2",CORNELIO PROCOPIO,PR,Colisão traseira,Reação tardia ou ineficiente do condutor,Sol,2025-01-01,8
2025-01-01,11:00:00,116,74,CAMPINA GRANDE DO SUL,PR,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-01,11
2025-01-01,09:30:00,251,471,FRANCISCO SA,MG,Colisão frontal,Velocidade Incompatível,Chuva,2025-01-01,9
2025-01-01,10:40:00,70,669,CACERES,MT,Colisão frontal,Transitar na contramão,Céu Claro,2025-01-01,10
2025-01-01,12:23:00,116,376,TAPES,RS,Saída de leito carroçável,Ausência de reação do condutor,Céu Claro,2025-01-01,12
2025-01-01,17:45:00,101,"207,4",SAO JOSE,SC,Colisão traseira,Ausência de reação do condutor,Nublado,2025-01-01,17
2025-01-01,18:40:00,116,"708,5",MURIAE,MG,Tombamento,Velocidade Incompatível,Nublado,2025-01-01,18
2025-01-01,17:00:00,407,"7,4",AFRANIO,PE,Incêndio,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-01,17
2025-01-01,20:20:00,101,327,CAPIVARI DE BAIXO,SC,Colisão com objeto,Ingestão de álcool pelo condutor,Garoa/Chuvisco,2025-01-01,20
2025-01-01,20:00:00,381,530,RIO MANSO,MG,Colisão traseira,Ausência de reação do condutor,Chuva,2025-01-01,20
2025-01-01,21:00:00,405,"51,8",MARIZOPOLIS,PB,Colisão frontal,Ingestão de álcool pelo condutor,Céu Claro,2025-01-01,21
2025-01-02,05:45:00,116,"708,5",MURIAE,MG,Tombamento,Velocidade Incompatível,Céu Claro,2025-01-02,5
2025-01-01,19:00:00,153,"117,8",CONCORDIA,SC,Saída de leito carroçável,Ausência de reação do condutor,Nublado,2025-01-01,19
2025-01-02,07:20:00,116,125,FAZENDA RIO GRANDE,PR,Colisão traseira,Ausência de reação do condutor,Sol,2025-01-02,7
2025-01-02,07:15:00,230,"105,6",MOGEIRO,PB,Saída de leito carroçável,Condutor Dormindo,Céu Claro,2025-01-02,7
2025-01-02,06:42:00,163,1102,GUARANTA DO NORTE,MT,Tombamento,Ausência de reação do condutor,Garoa/Chuvisco,2025-01-02,6
2025-01-02,06:30:00,163,"137,7",CAPITAO LEONIDAS MARQUES,PR,Colisão com objeto,Velocidade Incompatível,Céu Claro,2025-01-02,6
2025-01-02,08:20:00,40,"627,5",CONSELHEIRO LAFAIETE,MG,Colisão lateral mesmo sentido,Manobra de mudança de faixa,Céu Claro,2025-01-02,8
2025-01-02,08:19:00,163,826,SINOP,MT,Colisão com objeto,Chuva,Chuva,2025-01-02,8
2025-01-02,11:57:00,232,16,JABOATAO DOS GUARARAPES,PE,Colisão traseira,Acessar a via sem observar a presença dos outros veículos,Céu Claro,2025-01-02,11
2025-01-02,13:30:00,116,104,SAO JOSE DOS PINHAIS,PR,Colisão lateral mesmo sentido,Manobra de mudança de faixa,Céu Claro,2025-01-02,13
2025-01-02,13:20:00,262,"73,2",MARECHAL FLORIANO,ES,Colisão com objeto,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-02,13
2025-01-02,13:01:00,101,"46,5",IGARASSU,PE,Colisão traseira,Reação tardia ou ineficiente do condutor,Sol,2025-01-02,13
2025-01-02,14:30:00,101,331,RIO DE JANEIRO,RJ,Colisão traseira,Ausência de reação do condutor,Céu Claro,2025-01-02,14
2025-01-02,11:30:00,222,292,TIANGUA,CE,Colisão lateral sentido oposto,Transitar na contramão,Sol,2025-01-02,11
2025-01-02,06:50:00,135,124,MIRANDA DO NORTE,MA,Colisão lateral sentido oposto,Manobra de mudança de faixa,Céu Claro,2025-01-02,6
2025-01-02,14:00:00,287,316,MATA,RS,Saída de leito carroçável,Condutor Dormindo,Céu Claro,2025-01-02,14
2025-01-02,14:00:00,116,257,PINHEIRAL,RJ,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Nublado,2025-01-02,14
2025-01-02,19:20:00,290,"347,8",SAO SEPE,RS,Colisão frontal,Ausência de reação do condutor,Céu Claro,2025-01-02,19
2025-01-02,19:40:00,230,95,SAO BENTO DO TOCANTINS,TO,Colisão lateral mesmo sentido,Ultrapassagem Indevida,Céu Claro,2025-01-02,19
2025-01-02,18:20:00,393,167,TRES RIOS,RJ,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Céu Claro,2025-01-02,18
2025-01-02,15:30:00,376,440,TIBAGI,PR,Colisão com objeto,Ausência de reação do condutor,Chuva,2025-01-02,15
2025-01-02,15:00:00,135,"49,5",JERUMENHA,PI,Incêndio,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-02,15
2025-01-02,20:45:00,364,299,MINEIROS,GO,Colisão traseira,Reação tardia ou ineficiente do condutor,Nublado,2025-01-02,20
2025-01-02,17:15:00,369,"413,2",JURANDA,PR,Colisão frontal,Demais falhas mecânicas ou elétricas,Céu Claro,2025-01-02,17
2025-01-02,21:30:00,116,"551,9",SANTA BARBARA DO LESTE,MG,Queda de ocupante de veículo,Pedestre andava na pista,Céu Claro,2025-01-02,21
2025-01-03,00:30:00,20,1,FORMOSA,GO,Colisão lateral sentido oposto,Reação tardia ou ineficiente do condutor,Chuva,2025-01-03,0
2025-01-03,00:10:00,282,"489,4",FAXINAL DOS GUEDES,SC,Colisão frontal,Ultrapassagem Indevida,Céu Claro,2025-01-03,0
2025-01-03,03:30:00,381,"484,5",BETIM,MG,Saída de leito carroçável,Acumulo de água sobre o pavimento,Chuva,2025-01-03,3
2025-01-03,04:12:00,101,29,IGARASSU,PE,Colisão traseira,Manobra de mudança de faixa,Vento,2025-01-03,4
2025-01-03,05:03:00,101,"294,5",CARIACICA,ES,Engavetamento,Ausência de reação do condutor,Nublado,2025-01-03,5
2025-01-03,06:10:00,116,"929,3",ENCRUZILHADA,BA,Colisão frontal,Transitar na contramão,Céu Claro,2025-01-03,6
